iter	Passed	Remaining
0	112	112403
1	187	93463
2	255	84788
3	321	80104
4	386	77012
5	446	73987
6	503	71364
7	564	69993
8	630	69444
9	696	68956
10	756	68005
11	819	67491
12	902	68543
13	981	69151
14	1050	68963
15	1115	68603
16	1172	67826
17	1229	67098
18	1288	66505
19	1354	66373
20	1416	66056
21	1474	65568
22	1533	65122
23	1588	64602
24	1647	64271
25	1706	63943
26	1767	63695
27	1824	63328
28	1886	63158
29	1940	62741
30	1999	62509
31	2053	62124
32	2113	61937
33	2177	61860
34	2232	61563
35	2287	61264
36	2350	61171
37	2404	60872
38	2465	60743
39	2520	60494
40	2588	60557
41	2651	60481
42	2716	60454
43	2783	60476
44	2847	60433
45	2924	60643
46	3009	61020
47	3120	61895
48	3184	61799
49	3239	61559
50	3309	61582
51	3379	61606
52	3448	61625
53	3509	61478
54	3591	61711
55	3803	64111
56	3908	64659
57	4043	65673
58	4158	66329
59	4349	68146
60	4447	68456
61	4531	68561
62	4608	68542
63	4666	68248
64	4729	68026
65	4791	67813
66	4859	67665
67	4917	67400
68	4981	67217
69	5039	66949
70	5096	66688
71	5207	67118
72	5272	66949
73	5331	66714
74	5392	66504
75	5448	66244
76	5509	66036
77	5567	65809
78	5623	65560
79	5681	65336
80	5752	65268
81	5814	65093
82	5868	64835
83	5930	64674
84	5989	64472
85	6072	64538
86	6131	64344
87	6187	64129
88	6261	64094
89	6324	63947
90	6384	63775
91	6456	63721
92	6520	63590
93	6581	63429
94	6651	63363
95	6703	63124
96	6759	62929
97	6818	62760
98	6890	62713
99	6953	62579
100	7015	62443
101	7073	62270
102	7131	62107
